Time,L_Hip_Vert,L_Knee,L_Ankle,R_Hip_Vert,R_Knee,R_Ankle
11.14,-12.69,179.42,106.15,-5.35,165.65,89.74
11.16,-12.05,179.43,105.25,-8.05,167.74,93.56
11.18,-11.23,179.53,104.54,-11.01,170.08,97.64
11.2,-10.21,179.47,103.83,-14.01,172.48,101.87
11.22,-9.21,179.5,103.19,-17.23,175.04,106.25
11.24,-8.29,179.59,102.77,-20.59,177.66,110.56
11.26,-7.14,179.55,102.37,6.89,178.47,125.27
11.28,-6.11,179.5,102.05,5.06,177.36,126.25
11.3,-5.26,179.57,101.9,3.3,176.19,127.23
11.32,-4.22,179.51,102.04,1.65,175.11,128.08
11.34,-3.11,179.51,101.96,-0.11,173.93,128.9
11.36,-1.97,179.51,102.36,-1.71,172.94,129.49
11.38,-0.66,179.52,102.73,-3.27,171.97,129.9
11.4,0.91,179.44,103.15,-4.84,171.16,130.21
11.42,2.33,179.44,103.53,-6.5,170.31,130.3
11.44,3.78,179.39,104.18,-7.91,169.59,130.3
11.46,5.2,179.39,104.63,-9.5,168.85,130.19
11.48,-14.31,178.57,114.54,-10.85,168.29,129.82
11.5,-11.76,177.23,112.41,-12.18,167.78,129.3
11.52,-9.12,175.85,110.32,-13.32,167.4,128.81
11.54,-6.69,174.49,108.25,-14.56,167.14,127.95
11.56,-4.27,173.21,106.28,-15.57,167.01,126.93
11.58,-1.85,172.0,104.42,-16.51,167.0,125.76
11.6,0.16,170.86,102.79,-17.4,166.99,124.45
11.62,1.99,169.93,101.33,-18.13,167.2,122.94
11.64,3.85,169.12,99.9,-18.75,167.49,121.43
11.66,5.11,168.42,98.86,-19.15,167.86,119.76
11.68,6.15,167.8,98.04,-19.65,168.31,118.11
11.7,6.89,167.4,97.38,-19.84,168.94,116.42
11.72,7.23,167.08,96.97,-19.99,169.58,114.63
11.74,7.24,167.02,97.08,-19.99,178.76,112.87
11.76,6.97,167.16,97.26,-19.94,178.87,111.1
11.78,6.45,167.42,97.62,-19.66,178.91,109.35
11.8,5.62,167.81,98.31,-19.42,178.98,107.56
11.82,4.6,168.35,99.19,-19.1,179.05,105.83
11.84,3.16,169.1,100.19,-18.64,179.08,104.21
11.86,1.64,169.92,101.46,-18.01,179.0,102.68
11.88,-0.3,170.89,103.07,-17.36,178.98,101.24
11.9,-2.39,172.09,104.8,-16.48,179.03,99.98
11.92,-4.78,173.48,106.72,-15.48,179.08,98.92
11.94,-7.26,174.77,108.8,-14.29,179.01,97.89
11.96,-9.85,176.21,110.91,-13.18,178.98,97.18
11.98,-12.38,177.7,112.95,-11.89,179.01,96.59
12.0,4.92,179.62,125.08,-10.54,178.92,96.08
12.02,3.72,178.79,125.71,-9.12,178.88,95.69
12.04,2.52,178.02,126.28,-7.68,178.91,95.6
12.06,1.22,177.24,126.83,-6.11,179.03,95.57
12.08,0.0,176.52,127.33,-4.59,179.08,95.73
12.1,-1.26,175.8,127.68,-2.96,179.12,96.09
12.12,-2.65,175.14,127.96,-1.26,179.14,96.55
12.14,-4.08,174.52,128.09,0.39,179.21,97.14
12.16,-5.17,173.9,128.05,2.1,179.11,97.88
12.18,-6.39,173.38,127.97,3.96,179.03,98.73
12.2,-7.42,172.91,127.76,5.7,179.03,99.63
12.22,-8.34,172.46,127.41,7.49,179.02,100.78
12.24,-9.26,172.13,127.02,-19.5,177.02,109.57
12.26,-10.11,171.92,126.54,-16.24,174.38,105.14
12.28,-10.99,171.71,125.93,-13.19,171.84,100.72
12.3,-11.75,171.61,125.17,-10.16,169.4,96.59
12.32,-12.43,171.59,124.4,-7.29,167.07,92.55
12.34,-12.94,171.66,123.51,-4.73,165.01,89.0
12.36,-13.65,171.73,122.51,-2.37,163.09,85.6
12.38,-14.19,171.88,121.5,-0.09,161.43,82.62
12.4,-14.55,172.07,120.5,1.71,160.04,80.14
12.42,-14.78,172.31,119.22,3.09,158.95,78.1
12.44,-14.94,172.63,117.95,4.22,157.97,76.53
12.46,-14.98,173.03,116.69,4.89,157.45,75.59
12.48,-15.01,173.52,115.33,5.11,157.18,75.11
12.5,-15.07,179.42,114.03,4.99,157.17,75.15
12.52,-15.08,179.48,112.82,4.63,157.44,75.74
12.54,-14.96,179.49,111.59,3.71,158.13,76.86
12.56,-14.7,179.53,110.3,2.61,158.99,78.47
12.58,-14.4,179.54,109.21,1.1,160.24,80.61
12.6,-13.76,179.47,107.99,-0.81,161.75,83.16
12.62,-13.22,179.41,106.95,-3.04,163.51,86.29
12.64,-12.63,179.41,106.01,-5.55,165.55,89.76
12.66,-12.08,179.35,105.3,-8.26,167.79,93.51
12.68,-11.3,179.37,104.42,-11.11,170.08,97.62
12.7,-10.51,179.49,103.65,-14.09,172.61,101.89
12.72,-9.58,179.57,103.08,-17.24,175.15,106.31
12.74,-8.67,179.57,102.69,-20.22,177.67,110.77
12.76,-7.66,179.67,102.34,7.2,178.42,125.57
12.78,-6.49,179.65,102.18,5.29,177.31,126.58
12.8,-5.3,179.58,102.18,3.62,176.11,127.46
12.82,-4.14,179.52,102.2,1.95,174.98,128.27
12.84,-2.94,179.51,102.15,0.1,173.91,128.91
12.86,-1.62,179.45,102.3,-1.53,172.87,129.55
12.88,-0.33,179.45,102.61,-3.06,171.86,129.93
12.9,0.67,179.46,103.06,-4.81,170.97,130.26
12.92,2.01,179.49,103.61,-6.52,170.2,130.25
12.94,3.43,179.51,104.21,-7.96,169.41,130.29
12.96,4.84,179.57,104.74,-9.36,168.81,129.99
12.98,-14.36,178.74,114.65,-10.78,168.26,129.64
13.0,-11.45,177.25,112.36,-12.08,167.83,129.12
13.02,-8.86,175.75,110.08,-13.14,167.47,128.57
13.04,-6.4,174.41,108.0,-14.36,167.32,127.75
13.06,-3.87,173.03,106.06,-15.5,167.16,126.81
13.08,-1.75,171.78,104.26,-16.44,167.17,125.64
13.1,0.22,170.68,102.64,-17.13,167.23,124.32
13.12,2.08,169.72,101.24,-17.91,167.4,122.95
13.14,3.77,168.84,99.97,-18.47,167.75,121.38
13.16,4.91,168.2,98.92,-18.93,168.18,119.83
13.18,5.91,167.62,98.05,-19.33,168.66,118.18
13.2,6.62,167.17,97.5,-19.67,169.21,116.47
13.22,7.05,166.98,97.13,-20.01,169.87,114.65
13.24,7.12,166.91,96.99,-20.1,178.97,112.94
13.26,6.88,166.94,97.12,-20.04,178.94,111.06
13.28,6.41,167.24,97.54,-19.92,178.9,109.28
13.3,5.61,167.78,98.13,-19.62,178.95,107.54
13.32,4.6,168.42,98.95,-19.07,179.06,105.84
13.34,3.05,169.17,100.1,-18.43,179.07,104.23
13.36,1.52,170.08,101.52,-17.71,179.02,102.74
13.38,-0.3,171.14,103.08,-16.93,179.04,101.4
13.4,-2.53,172.27,104.86,-16.11,179.01,100.23
13.42,-4.94,173.48,106.79,-15.15,178.94,99.11
13.44,-7.21,174.75,108.78,-14.22,178.9,98.13
13.46,-9.93,176.14,110.81,-13.16,178.92,97.25
13.48,-12.69,177.48,112.91,-11.95,178.88,96.47
13.5,4.72,179.41,125.06,-10.69,178.9,95.94
13.52,3.54,178.7,125.61,-9.26,178.9,95.62
13.54,2.31,177.92,126.07,-7.74,178.81,95.44
13.56,1.19,177.13,126.55,-6.28,178.9,95.55
13.58,-0.0,176.48,127.06,-4.6,178.98,95.85
13.6,-1.27,175.78,127.45,-2.94,178.97,96.22
13.62,-2.67,175.03,127.79,-1.27,178.99,96.71
13.64,-3.92,174.49,128.14,0.46,179.06,97.31
13.66,-5.26,173.95,128.22,2.25,179.05,98.07
13.68,-6.39,173.44,128.12,4.0,179.07,98.89
13.7,-7.41,173.0,127.89,5.8,179.09,99.78
13.72,-8.43,172.6,127.56,7.58,179.13,100.75
13.74,-9.38,172.29,127.15,-19.61,177.21,109.6
13.76,-10.17,172.02,126.72,-16.45,174.49,105.07
13.78,-11.09,171.78,126.1,-13.38,171.88,100.7
13.8,-11.77,171.63,125.4,-10.45,169.44,96.49
13.82,-12.53,171.64,124.61,-7.64,167.09,92.53
13.84,-13.16,171.64,123.71,-5.03,164.95,88.8
13.86,-13.75,171.75,122.66,-2.62,163.06,85.46
13.88,-14.19,171.89,121.6,-0.53,161.38,82.52
